1	59	2	2	0	92	13174
2	59	5	2	0	92	12429
3	59	8	2	0	96	12404
4	59	11	2	0	98	12167
5	59	14	2	0	97	11922
6	59	17	2	0	95	12731
7	59	20	2	0	99	13065
8	59	23	2	0	99	12522
9	59	26	2	0	97	11709
10	59	29	2	0	97	11777
11	59	32	2	0	106	11681
12	59	35	2	0	96	13568
13	59	38	2	0	95	13087
14	59	41	2	0	95	12398
15	59	44	2	0	97	12191
16	62	2	2	0	97	11278
17	62	5	2	0	165	12572
18	62	8	2	0	131	14579
19	62	11	2	0	132	14447
20	62	14	2	0	133	14339
21	62	17	2	0	135	14073
22	62	20	2	0	136	13359
23	62	23	2	0	136	13343
24	62	26	2	0	136	15408
25	62	29	2	0	136	15343
26	62	32	2	0	137	15282
27	62	35	2	0	138	14810
28	62	38	2	0	138	13589
29	62	41	2	0	141	13357
30	62	44	2	0	136	15289
31	65	2	2	0	138	15234
32	65	5	2	0	138	14858
33	65	8	2	0	140	15023
34	65	11	2	0	114	12571
35	65	14	2	0	141	14622
36	65	17	2	0	224	14515
37	65	20	2	0	201	13815
38	65	23	2	0	226	14568
39	65	26	0	0	259	14965
40	65	29	0	0	259	14872
41	65	32	0	0	276	14908
42	65	35	0	0	275	14929
43	65	38	0	0	270	15321
44	65	41	0	0	261	15259
45	65	44	0	0	273	15307
46	68	2	0	0	269	15149
47	68	5	0	0	269	15333
48	68	8	0	0	217	15731
49	68	11	0	0	194	15033
50	68	14	0	0	206	15473
51	68	17	0	0	180	14261
52	68	20	0	0	207	15469
53	68	23	0	0	203	15270
54	68	26	0	0	168	13385
55	68	29	0	0	214	15599
56	68	32	0	0	261	14982
57	68	35	0	0	270	15409
58	68	38	0	0	269	15426
-1
编号      	横坐标      纵坐标      种类    所运种类     完成任务数	工作时间

机器人种类：1：运货机器人，0：拣货机器人，2：机动机器人（可被所有区域调用）

此文件用于实时更改机器人的坐标位置，后端写入该文件，前端读取该文件，更新显示的机器人位置；
